"Bydele Navn","Roder","År","Måned","Antal borgere"
"Amager Øst","0369","2015","Februar","10"
"Amager Øst","0369","2015","Marts","12"
"Amager Øst","0369","2015","April","12"
"Amager Øst","0369","2015","Maj","12"
"Amager Øst","0369","2015","Juni","11"
"Amager Øst","0369","2015","Juli","9"
"Amager Øst","0369","2015","August","12"
"Amager Øst","0369","2015","September","13"
"Amager Øst","0369","2015","Oktober","12"
"Amager Øst","0369","2015","November","9"
"Amager Øst","0369","2015","December","8"
"Amager Øst","0369","2016","Januar","10"
"Amager Øst","0369","2016","Februar","9"
"Amager Øst","0369","2016","Marts","10"
"Amager Øst","0370","2015","Januar","15"
"Amager Øst","0370","2015","Februar","19"
"Amager Øst","0370","2015","Marts","17"
"Amager Øst","0370","2015","April","16"
"Amager Øst","0370","2015","Maj","16"
"Amager Øst","0370","2015","Juni","14"
"Amager Øst","0370","2015","Juli","15"
"Amager Øst","0370","2015","August","12"
"Amager Øst","0370","2015","September","15"
"Amager Øst","0370","2015","Oktober","15"
"Amager Øst","0370","2015","November","14"
"Amager Øst","0370","2015","December","14"
"Amager Øst","0370","2016","Januar","13"
"Amager Øst","0370","2016","Februar","15"
"Amager Øst","0370","2016","Marts","15"
"Amager Øst","0371","2015","Januar","5"
"Amager Øst","0371","2015","Februar","5"
"Amager Øst","0371","2015","Maj","7"
"Amager Øst","0371","2015","Juni","9"
"Amager Øst","0371","2015","Juli","8"
"Amager Øst","0371","2015","August","9"
"Amager Øst","0371","2015","September","6"
"Amager Øst","0371","2015","Oktober","5"
"Amager Øst","0371","2015","November","8"
"Amager Øst","0371","2015","December","8"
"Amager Øst","0371","2016","Januar","7"
"Amager Øst","0371","2016","Februar","8"
"Amager Øst","0371","2016","Marts","8"
"Amager Øst","0372","2015","Januar","9"
"Amager Øst","0372","2015","Februar","8"
"Amager Øst","0372","2015","Marts","9"
"Amager Øst","0372","2015","April","8"
"Amager Øst","0372","2015","Maj","8"
"Amager Øst","0372","2015","Juni","9"
"Amager Øst","0372","2015","Juli","9"
"Amager Øst","0372","2015","August","8"
"Amager Øst","0372","2015","September","8"
"Amager Øst","0372","2015","Oktober","6"
"Amager Øst","0372","2015","November","6"
"Amager Øst","0372","2015","December","7"
"Amager Øst","0372","2016","Januar","8"
"Amager Øst","0372","2016","Februar","8"
"Amager Øst","0372","2016","Marts","9"
"Amager Øst","0373","2015","Januar","11"
"Amager Øst","0373","2015","Februar","12"
"Amager Øst","0373","2015","Marts","11"
"Amager Øst","0373","2015","April","11"
"Amager Øst","0373","2015","Maj","10"
"Amager Øst","0373","2015","Juni","10"
"Amager Øst","0373","2015","Juli","8"
"Amager Øst","0373","2015","August","8"
"Amager Øst","0373","2015","September","8"
