"Modtagerovergruppe","Bydele Navn","Roder","År","Måned","Antal borgere"
"Fleksjob – løntilskud og løn","Amager Vest","0354","2016","Januar","6"
"Fleksjob – løntilskud og løn","Amager Vest","0354","2016","Februar","5"
"Fleksjob – løntilskud og løn","Amager Vest","0354","2016","Marts","5"
"Fleksjob – løntilskud og løn","Amager Vest","0355","2015","Januar","8"
"Fleksjob – løntilskud og løn","Amager Vest","0355","2015","Februar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0355","2015","Marts","7"
"Fleksjob – løntilskud og løn","Amager Vest","0355","2015","April","7"
"Fleksjob – løntilskud og løn","Amager Vest","0355","2015","Maj","7"
"Fleksjob – løntilskud og løn","Amager Vest","0355","2015","Juni","7"
"Fleksjob – løntilskud og løn","Amager Vest","0355","2015","Juli","7"
"Fleksjob – løntilskud og løn","Amager Vest","0355","2015","August","7"
"Fleksjob – løntilskud og løn","Amager Vest","0355","2015","September","7"
"Fleksjob – løntilskud og løn","Amager Vest","0355","2015","Oktober","6"
"Fleksjob – løntilskud og løn","Amager Vest","0355","2015","November","6"
"Fleksjob – løntilskud og løn","Amager Vest","0355","2015","December","6"
"Fleksjob – løntilskud og løn","Amager Vest","0355","2016","Januar","6"
