statsborgerskab	køn	alder	oprindelsesland	2006	2007	2008	2009	2010	2011	2012	2013
Dansk	Mænd	0-9 år	Uoplyst	177	157	26	29	23	18	24	24
Dansk	Mænd	10-19 år	Danmark	307111	311842	316095	318519	319507	319621	318848	316118
Dansk	Mænd	10-19 år	Albanien	1	2	2	2	3	4	8	8
Dansk	Mænd	10-19 år	Andorra	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Belgien	8	12	5	4	5	7	7	10
Dansk	Mænd	10-19 år	Bosnien-Hercegovina	833	885	958	955	955	943	903	895
Dansk	Mænd	10-19 år	Bulgarien	28	26	27	24	24	23	22	20
Dansk	Mænd	10-19 år	Cypern	4	4	3	3	1	1	0	0
Dansk	Mænd	10-19 år	Estland	1	1	1	1	3	3	1	5
Dansk	Mænd	10-19 år	Finland	17	15	18	16	17	17	14	16
Dansk	Mænd	10-19 år	Frankrig	29	28	16	14	15	18	18	21
Dansk	Mænd	10-19 år	Grækenland	7	6	2	3	3	3	3	3
Dansk	Mænd	10-19 år	Belarus	8	8	10	11	11	14	14	15
Dansk	Mænd	10-19 år	Irland	9	9	7	8	9	9	8	7
Dansk	Mænd	10-19 år	Island	24	22	26	25	23	25	28	27
Dansk	Mænd	10-19 år	Italien	11	9	4	5	6	5	4	5
Dansk	Mænd	10-19 år	Jugoslavien	626	697	740	724	733	683	667	638
Dansk	Mænd	10-19 år	Jugoslavien, Forbundsrepublikken	5	8	16	21	37	44	64	72
Dansk	Mænd	10-19 år	Kosovo	0	0	0	9	8	14	23	33
Dansk	Mænd	10-19 år	Kroatien	24	27	29	29	27	28	26	24
Dansk	Mænd	10-19 år	Letland	2	1	1	3	3	4	6	6
Dansk	Mænd	10-19 år	Liechtenstein	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Litauen	7	7	7	10	12	13	16	21
Dansk	Mænd	10-19 år	Luxembourg	3	3	2	6	4	3	3	3
Dansk	Mænd	10-19 år	Nordmakedonien	78	97	113	124	133	147	154	163
Dansk	Mænd	10-19 år	Malta	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Moldova	0	3	5	5	4	5	4	5
Dansk	Mænd	10-19 år	Monaco	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Montenegro	0	0	2	6	6	6	7	7
Dansk	Mænd	10-19 år	Nederlandene	23	26	21	25	25	30	29	24
Dansk	Mænd	10-19 år	Nordirland	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Norge	70	76	64	64	57	55	53	57
Dansk	Mænd	10-19 år	Polen	397	370	348	320	327	294	270	261
Dansk	Mænd	10-19 år	Portugal	7	8	6	5	6	5	2	1
Dansk	Mænd	10-19 år	Rumænien	72	72	76	76	76	79	83	80
Dansk	Mænd	10-19 år	Rusland	37	42	51	51	57	61	68	73
Dansk	Mænd	10-19 år	San Marino	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Schweiz	9	12	11	12	7	7	6	8
Dansk	Mænd	10-19 år	Serbien	0	0	1	4	4	6	9	10
Dansk	Mænd	10-19 år	Serbien og Montenegro	2	12	15	16	16	24	22	24
Dansk	Mænd	10-19 år	Slovakiet	0	0	0	0	0	0	0	0
Dansk	Mænd	10-19 år	Slovenien	2	0	0	0	0	1	1	1
