unit	ownership	district	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Total square meters occupied dwellings	Owner-occupied	Polling area - 7. Nordvest	235858.0	236141.0	229290.0	238155.0	240072.0	240773.0	243570.0	242702.0	244661.0	247384.0	248330.0	249217.0	250884.0	253320.0	253639.0	255646.0	259442.0	261310.0	263543.0	261475.0	262445.0	264392.0	265798.0	265114.0	265832.0	267743.0	268702.0	271190.0	272878.0	274313.0	274314.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 7. Katrinedal	65445.0	64306.0	62687.0	65375.0	64691.0	64342.0	65312.0	65991.0	67509.0	69395.0	75101.0	74838.0	75154.0	74680.0	74840.0	75254.0	75494.0	75184.0	75317.0	76292.0	73612.0	73913.0	72308.0	72545.0	74123.0	73862.0	74511.0	81150.0	78052.0	79410.0	79141.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 7. Kirkebjerg	218564.0	219202.0	212127.0	220187.0	221963.0	196054.0	197119.0	198545.0	199701.0	201400.0	196086.0	196798.0	198405.0	199048.0	200323.0	201369.0	202094.0	202715.0	203714.0	201838.0	200927.0	201639.0	201493.0	201931.0	202695.0	207083.0	208619.0	209436.0	210150.0	209793.0	211196.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 7. Vanløse	167755.0	169923.0	167938.0	170698.0	172860.0	202793.0	203847.0	208143.0	212961.0	214499.0	215268.0	215787.0	219015.0	220385.0	221248.0	218424.0	219460.0	218679.0	218333.0	215279.0	216735.0	212410.0	214232.0	213420.0	215884.0	218095.0	220905.0	223180.0	224138.0	224737.0	230318.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 8. Valby	190270.0	191342.0	188368.0	194953.0	196280.0	196797.0	198689.0	200714.0	203991.0	204141.0	205848.0	208416.0	210714.0	209392.0	210213.0	210515.0	210883.0	211404.0	209100.0	207900.0	209411.0	211198.0	208723.0	208852.0	208821.0	210082.0	212943.0	213454.0	216362.0	218621.0	222574.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 8. Nord	94586.0	95693.0	96158.0	96315.0	100018.0	100470.0	101525.0	102959.0	105585.0	108310.0	108106.0	110875.0	112341.0	114821.0	116684.0	114042.0	115172.0	115717.0	115756.0	111374.0	112214.0	111603.0	112108.0	111719.0	111331.0	115535.0	114660.0	116604.0	119265.0	125981.0	127767.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 8. Syd	92236.0	93822.0	85237.0	95111.0	94309.0	93587.0	94333.0	94735.0	96509.0	97969.0	98735.0	98696.0	99999.0	100001.0	101099.0	100580.0	101548.0	102145.0	102056.0	98741.0	100027.0	100091.0	99293.0	100151.0	99952.0	100909.0	103355.0	109337.0	108204.0	129571.0	163093.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 8. Vest	75298.0	66343.0	64710.0	66766.0	67470.0	67741.0	66768.0	67611.0	68005.0	68979.0	69767.0	70042.0	70348.0	69747.0	69811.0	69163.0	69895.0	71275.0	71170.0	71805.0	77667.0	80410.0	78572.0	78366.0	78046.0	79508.0	79310.0	80275.0	83074.0	82784.0	86121.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 8. Sydøst	59451.0	59887.0	57575.0	55624.0	55745.0	56985.0	57676.0	58565.0	59535.0	60347.0	60556.0	60031.0	61376.0	61020.0	61581.0	62116.0	64710.0	64794.0	63280.0	61859.0	62051.0	63161.0	63736.0	65674.0	62639.0	63126.0	63890.0	67603.0	66279.0	70292.0	80766.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 8. Midt	39685.0	50925.0	51088.0	51382.0	52022.0	53393.0	53786.0	54087.0	55271.0	56553.0	56691.0	56181.0	55578.0	55672.0	55234.0	56523.0	58571.0	70513.0	73538.0	81814.0	78083.0	79170.0	82124.0	79532.0	82756.0	88958.0	92330.0	100329.0	116153.0	116084.0	110255.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 9. Vesterbro	33471.0	31154.0	29392.0	29600.0	28663.0	35077.0	32240.0	29795.0	29773.0	29332.0	30438.0	31707.0	31724.0	31628.0	29755.0	32797.0	31883.0	31229.0	32123.0	29143.0	27206.0	25403.0	25265.0	25628.0	26059.0	26796.0	27619.0	29187.0	28769.0	29990.0	29412.0
